Date,Currency,Exchange Rate,USD Equivalent,Percent Change
12/03/1981,U.S. dollar,0.5400,1.00000,0.540000
13/03/1981,Deutsche mark,0.4600,2.11250,0.217751
13/03/1981,French franc,0.7400,4.98070,0.148573
13/03/1981,Japanese yen,34.0000,207.85000,0.163580
13/03/1981,U.K. pound,0.0710,2.21600,0.157336
13/03/1981,U.S. dollar,0.5400,1.00000,0.540000
16/03/1981,Deutsche mark,0.4600,2.09930,0.219121
16/03/1981,French franc,0.7400,4.95150,0.149450
16/03/1981,Japanese yen,34.0000,207.15000,0.164132
16/03/1981,U.K. pound,0.0710,2.23300,0.158543
16/03/1981,U.S. dollar,0.5400,1.00000,0.540000
17/03/1981,Deutsche mark,0.4600,2.08240,0.220899
17/03/1981,French franc,0.7400,4.91120,0.150676
17/03/1981,Japanese yen,34.0000,207.00000,0.164251
17/03/1981,U.K. pound,0.0710,2.25450,0.160070
17/03/1981,U.S. dollar,0.5400,1.00000,0.540000
18/03/1981,Deutsche mark,0.4600,2.06460,0.222803
18/03/1981,French franc,0.7400,4.86870,0.151991
18/03/1981,Japanese yen,34.0000,206.65000,0.164529
18/03/1981,U.K. pound,0.0710,2.27050,0.161206
18/03/1981,U.S. dollar,0.5400,1.00000,0.540000
19/03/1981,Deutsche mark,0.4600,2.04650,0.224774
19/03/1981,French franc,0.7400,4.83300,0.153114
19/03/1981,Japanese yen,34.0000,208.15000,0.163344
19/03/1981,U.K. pound,0.0710,2.27450,0.161490
19/03/1981,U.S. dollar,0.5400,1.00000,0.540000
20/03/1981,Deutsche mark,0.4600,2.07050,0.222169
20/03/1981,French franc,0.7400,4.87620,0.151758
20/03/1981,Japanese yen,34.0000,208.97000,0.162703
20/03/1981,U.K. pound,0.0710,2.26600,0.160886
20/03/1981,U.S. dollar,0.5400,1.00000,0.540000
23/03/1981,Deutsche mark,0.4600,2.08750,0.220359
23/03/1981,French franc,0.7400,4.91820,0.150462
23/03/1981,Japanese yen,34.0000,208.70000,0.162913
23/03/1981,U.K. pound,0.0710,2.24550,0.159431
