Year,Month,Currency,Currency Amount,Exchange Rate,USD Equivalent
1985,December,Japanese yen,34.0,200.32,0.169728
1985,December,U.K. pound,0.071,1.4445,0.10256
1985,December,U.S. dollar,0.54,1.0,0.54
1985,February,Deutsche mark,0.46,3.3275,0.138242
1985,February,French franc,0.74,10.18,0.072692
1985,February,Japanese yen,34.0,259.35,0.131097
1985,February,U.K. pound,0.071,1.09,0.07739
1985,February,U.S. dollar,0.54,1.0,0.54
1985,January,Deutsche mark,0.46,3.1675,0.145225
1985,January,French franc,0.74,9.6855,0.076403
1985,January,Japanese yen,34.0,255.04,0.133312
1985,January,U.K. pound,0.071,1.1275,0.080053
1985,January,U.S. dollar,0.54,1.0,0.54
1985,July,Deutsche mark,0.46,2.788,0.164993
1985,July,French franc,0.74,8.4975,0.087084
1985,July,Japanese yen,34.0,236.35,0.143854
1985,July,U.K. pound,0.071,1.4287,0.101438
1985,July,U.S. dollar,0.54,1.0,0.54
1985,June,Deutsche mark,0.46,3.057,0.150474
1985,June,French franc,0.74,9.3145,0.079446
1985,June,Japanese yen,34.0,249.25,0.136409
1985,June,U.K. pound,0.071,1.2951,0.091952
1985,June,U.S. dollar,0.54,1.0,0.54
1985,March,Deutsche mark,0.46,3.0855,0.149084
1985,March,French franc,0.74,9.41,0.07864
1985,March,Japanese yen,34.0,251.3,0.135296
1985,March,U.K. pound,0.071,1.243,0.088253
1985,March,U.S. dollar,0.54,1.0,0.54
1985,May,Deutsche mark,0.46,3.089,0.148916
1985,May,French franc,0.74,9.4125,0.078619
1985,May,Japanese yen,34.0,251.86,0.134996
1985,May,U.K. pound,0.071,1.2735,0.090419
1985,May,U.S. dollar,0.54,1.0,0.54
1985,November,Deutsche mark,0.46,2.512,0.183121
1985,November,French franc,0.74,7.6675,0.096511
1985,November,Japanese yen,34.0,202.05,0.168275
1985,November,U.K. pound,0.071,1.4828,0.105279
1985,November,U.S. dollar,0.54,1.0,0.54
1985,October,Deutsche mark,0.46,2.6166,0.175801
1985,October,French franc,0.74,7.98,0.092732
1985,October,Japanese yen,34.0,211.65,0.160643
1985,October,U.K. pound,0.071,1.4433,0.102474
1985,October,U.S. dollar,0.54,1.0,0.54
1985,September,Deutsche mark,0.46,2.671,0.17222
1985,September,French franc,0.74,8.1525,0.09077
1985,September,Japanese yen,34.0,216.65,0.156935
1985,September,U.K. pound,0.071,1.401,0.099471
1985,September,U.S. dollar,0.54,1.0,0.54
1986,April,Deutsche mark,0.527,2.1855,0.241135
1986,April,French franc,1.02,6.96,0.146552
1986,April,Japanese yen,33.4,168.45,0.198278
1986,April,U.K. pound,0.0893,1.5453,0.137995
1986,April,U.S. dollar,0.452,1.0,0.452
1986,August,Deutsche mark,0.527,2.052,0.256823
1986,August,French franc,1.02,6.725,0.151673
1986,August,Japanese yen,33.4,155.8,0.214377
1986,August,U.K. pound,0.0893,1.4783,0.132012
1986,August,U.S. dollar,0.452,1.0,0.452
1986,December,Deutsche mark,0.527,1.939,0.27179
1986,December,French franc,1.02,6.4265,0.158718
1986,December,Japanese yen,33.4,159.8,0.209011
1986,December,U.K. pound,0.0893,1.4745,0.131673
1986,December,U.S. dollar,0.452,1.0,0.452
1986,February,Deutsche mark,0.527,2.2185,0.237548
1986,February,French franc,1.02,6.823,0.149494
1986,February,Japanese yen,33.4,179.9,0.185659
1986,February,U.K. pound,0.0893,1.4685,0.131137
1986,February,U.S. dollar,0.452,1.0,0.452
1986,January,Deutsche mark,0.527,2.3885,0.220641
1986,January,French franc,1.02,7.3215,0.139316
1986,January,Japanese yen,33.4,193.0,0.173057
1986,January,U.K. pound,0.0893,1.4125,0.126136
1986,January,U.S. dollar,0.452,1.0,0.452
1986,July,Deutsche mark,0.527,2.0943,0.251635
1986,July,French franc,1.02,6.805,0.14989
1986,July,Japanese yen,33.4,153.86,0.21708
1986,July,U.K. pound,0.0893,1.4905,0.133102
1986,July,U.S. dollar,0.452,1.0,0.452
1986,June,Deutsche mark,0.527,2.1984,0.23972
1986,June,French franc,1.02,7.01,0.145506
1986,June,Japanese yen,33.4,163.98,0.203683
1986,June,U.K. pound,0.0893,1.5303,0.136656
1986,June,U.S. dollar,0.452,1.0,0.452
1986,March,Deutsche mark,0.527,2.344,0.224829
1986,March,French franc,1.02,7.2025,0.141617
1986,March,Japanese yen,33.4,177.5,0.188169
1986,March,U.K. pound,0.0893,1.4743,0.131655
1986,March,U.S. dollar,0.452,1.0,0.452
1986,May,Deutsche mark,0.527,2.313,0.227843
1986,May,French franc,1.02,7.3645,0.138502
1986,May,Japanese yen,33.4,173.53,0.192474
1986,May,U.K. pound,0.0893,1.4818,0.132325
1986,May,U.S. dollar,0.452,1.0,0.452
1986,November,Deutsche mark,0.527,1.9771,0.266552
1986,November,French franc,1.02,6.4762,0.1575
1986,November,Japanese yen,33.4,162.15,0.205982
1986,November,U.K. pound,0.0893,1.4363,0.128262
1986,November,U.S. dollar,0.452,1.0,0.452
1986,October,Deutsche mark,0.527,2.068,0.254836
1986,October,French franc,1.02,6.7525,0.151055
1986,October,Japanese yen,33.4,163.95,0.203721
1986,October,U.K. pound,0.0893,1.3998,0.125002
1986,October,U.S. dollar,0.452,1.0,0.452
1986,September,Deutsche mark,0.527,2.023,0.260504
1986,September,French franc,1.02,6.624,0.153986
1986,September,Japanese yen,33.4,153.6,0.217448
1986,September,U.K. pound,0.0893,1.45,0.129485
1986,September,U.S. dollar,0.452,1.0,0.452
1987,April,Deutsche mark,0.527,1.7863,0.295023
1987,April,French franc,1.02,5.965,0.170997
1987,April,Japanese yen,33.4,139.44,0.23953
1987,April,U.K. pound,0.0893,1.6653,0.148711
1987,April,U.S. dollar,0.452,1.0,0.452
1987,August,Deutsche mark,0.527,1.8106,0.291064
1987,August,French franc,1.02,6.051,0.168567
1987,August,Japanese yen,33.4,141.73,0.235659
1987,August,U.K. pound,0.0893,1.6331,0.145836
1987,August,U.S. dollar,0.452,1.0,0.452
1987,December,Deutsche mark,0.527,1.579,0.333756
1987,December,French franc,1.02,5.35,0.190654
1987,December,Japanese yen,33.4,121.4,0.275124
1987,December,U.K. pound,0.0893,1.8715,0.167125
1987,December,U.S. dollar,0.452,1.0,0.452
1987,February,Deutsche mark,0.527,1.8261,0.288593
1987,February,French franc,1.02,6.08,0.167763
1987,February,Japanese yen,33.4,153.26,0.21793
1987,February,U.K. pound,0.0893,1.5443,0.137906
1987,February,U.S. dollar,0.452,1.0,0.452
1987,January,Deutsche mark,0.527,1.8092,0.291289
1987,January,French franc,1.02,6.03,0.169154
1987,January,Japanese yen,33.4,152.82,0.218558
1987,January,U.K. pound,0.0893,1.5295,0.136584
1987,January,U.S. dollar,0.452,1.0,0.452
1987,July,Deutsche mark,0.527,1.8554,0.284036
1987,July,French franc,1.02,6.1705,0.165303
1987,July,Japanese yen,33.4,149.37,0.223606
1987,July,U.K. pound,0.0893,1.5933,0.142282
1987,July,U.S. dollar,0.452,1.0,0.452
1987,June,Deutsche mark,0.527,1.8296,0.288041
1987,June,French franc,1.02,6.105,0.167076
1987,June,Japanese yen,33.4,147.05,0.227134
1987,June,U.K. pound,0.0893,1.61,0.143773
1987,June,U.S. dollar,0.452,1.0,0.452
1987,March,Deutsche mark,0.527,1.805,0.291967
1987,March,French franc,1.02,6.0125,0.169647
1987,March,Japanese yen,33.4,146.05,0.228689
1987,March,U.K. pound,0.0893,1.605,0.143327
1987,March,U.S. dollar,0.452,1.0,0.452
1987,May,Deutsche mark,0.527,1.8215,0.289322
1987,May,French franc,1.02,6.072,0.167984
1987,May,Japanese yen,33.4,143.92,0.232073
1987,May,U.K. pound,0.0893,1.626,0.145202
1987,May,U.S. dollar,0.452,1.0,0.452
1987,November,Deutsche mark,0.527,1.6352,0.322285
1987,November,French franc,1.02,5.5662,0.183249
1987,November,Japanese yen,33.4,132.17,0.252705
1987,November,U.K. pound,0.0893,1.8315,0.163553
1987,November,U.S. dollar,0.452,1.0,0.452
1987,October,Deutsche mark,0.527,1.7395,0.302961
1987,October,French franc,1.02,5.905,0.172735
1987,October,Japanese yen,33.4,138.95,0.240374
1987,October,U.K. pound,0.0893,1.7135,0.153016
1987,October,U.S. dollar,0.452,1.0,0.452
1987,September,Deutsche mark,0.527,1.838,0.286725
1987,September,French franc,1.02,6.119,0.166694
1987,September,Japanese yen,33.4,146.05,0.228689
1987,September,U.K. pound,0.0893,1.6297,0.145532
1987,September,U.S. dollar,0.452,1.0,0.452
1988,April,Deutsche mark,0.527,1.668,0.315947
1988,April,French franc,1.02,5.669,0.179926
1988,April,Japanese yen,33.4,124.62,0.268015
1988,April,U.K. pound,0.0893,1.8845,0.168286
1988,April,U.S. dollar,0.452,1.0,0.452
1988,August,Deutsche mark,0.527,1.8747,0.281112
1988,August,French franc,1.02,6.362,0.160327
1988,August,Japanese yen,33.4,136.56,0.244581
1988,August,U.K. pound,0.0893,1.6815,0.150158
1988,August,U.S. dollar,0.452,1.0,0.452
1988,December,Deutsche mark,0.527,1.774,0.297069
1988,December,French franc,1.02,6.0655,0.168164
1988,December,Japanese yen,33.4,125.15,0.26688
1988,December,U.K. pound,0.0893,1.8095,0.161588
1988,December,U.S. dollar,0.452,1.0,0.452
1988,February,Deutsche mark,0.527,1.688,0.312204
1988,February,French franc,1.02,5.7157,0.178456
1988,February,Japanese yen,33.4,128.32,0.260287
1988,February,U.K. pound,0.0893,1.77,0.158061
1988,February,U.S. dollar,0.452,1.0,0.452
1988,January,Deutsche mark,0.527,1.6757,0.314495
1988,January,French franc,1.02,5.65,0.180531
1988,January,Japanese yen,33.4,127.83,0.261285
1988,January,U.K. pound,0.0893,1.7705,0.158106
1988,January,U.S. dollar,0.452,1.0,0.452
1988,July,Deutsche mark,0.527,1.881,0.28017
1988,July,French franc,1.02,6.34,0.160883
1988,July,Japanese yen,33.4,133.07,0.250996
1988,July,U.K. pound,0.0893,1.707,0.152435
1988,July,U.S. dollar,0.452,1.0,0.452
1988,June,Deutsche mark,0.527,1.8205,0.289481
1988,June,French franc,1.02,6.139,0.166151
1988,June,Japanese yen,33.4,133.42,0.250337
1988,June,U.K. pound,0.0893,1.7093,0.15264
1988,June,U.S. dollar,0.452,1.0,0.452
1988,March,Deutsche mark,0.527,1.6597,0.317527
1988,March,French franc,1.02,5.6282,0.18123
1988,March,Japanese yen,33.4,124.32,0.268662
1988,March,U.K. pound,0.0893,1.8798,0.167866
1988,March,U.S. dollar,0.452,1.0,0.452
1988,May,Deutsche mark,0.527,1.7267,0.305206
1988,May,French franc,1.02,5.8045,0.175726
1988,May,Japanese yen,33.4,125.02,0.267157
1988,May,U.K. pound,0.0893,1.8448,0.164741
1988,May,U.S. dollar,0.452,1.0,0.452
1988,November,Deutsche mark,0.527,1.7356,0.303641
1988,November,French franc,1.02,5.9282,0.172059
1988,November,Japanese yen,33.4,122.02,0.273726
1988,November,U.K. pound,0.0893,1.8471,0.164946
1988,November,U.S. dollar,0.452,1.0,0.452
1988,October,Deutsche mark,0.527,1.7682,0.298043
1988,October,French franc,1.02,6.035,0.169014
1988,October,Japanese yen,33.4,124.67,0.267907
1988,October,U.K. pound,0.0893,1.78,0.158954
1988,October,U.S. dollar,0.452,1.0,0.452
1988,September,Deutsche mark,0.527,1.8797,0.280364
1988,September,French franc,1.02,6.3965,0.159462
1988,September,Japanese yen,33.4,134.65,0.248051
1988,September,U.K. pound,0.0893,1.6855,0.150515
1988,September,U.S. dollar,0.452,1.0,0.452
1989,April,Deutsche mark,0.527,1.8782,0.280588
1989,April,French franc,1.02,6.3477,0.160688
1989,April,Japanese yen,33.4,132.82,0.251468
1989,April,U.K. pound,0.0893,1.69,0.150917
1989,April,U.S. dollar,0.452,1.0,0.452
1989,August,Deutsche mark,0.527,1.9602,0.26885
1989,August,French franc,1.02,6.6025,0.154487
1989,August,Japanese yen,33.4,144.6,0.230982
1989,August,U.K. pound,0.0893,1.57,0.140201
1989,August,U.S. dollar,0.452,1.0,0.452
1989,December,Deutsche mark,0.527,1.695,0.310914
1989,December,French franc,1.02,5.7995,0.175877
1989,December,Japanese yen,33.4,143.97,0.231993
1989,December,U.K. pound,0.0893,1.6055,0.143371
1989,December,U.S. dollar,0.452,1.0,0.452
1989,February,Deutsche mark,0.527,1.8295,0.288057
1989,February,French franc,1.02,6.229,0.16375
1989,February,Japanese yen,33.4,127.32,0.262331
1989,February,U.K. pound,0.0893,1.7398,0.155364
