Date,Currency,Currency Amount,Exchange Rate,USD Equivalent,Year,Month
1981-02-09,French franc,0.74,4.923,0.150315,1981,February
1981-02-09,Japanese yen,34.0,203.52,0.16706,1981,February
1981-02-09,U.K. pound,0.071,2.3385,0.166034,1981,February
1981-02-09,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-10,Deutsche mark,0.46,2.1385,0.215104,1981,February
1981-02-10,French franc,0.74,4.929,0.150132,1981,February
1981-02-10,Japanese yen,34.0,203.61,0.166986,1981,February
1981-02-10,U.K. pound,0.071,2.3397,0.166119,1981,February
1981-02-10,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-11,Deutsche mark,0.46,2.15,0.213953,1981,February
1981-02-11,French franc,0.74,4.9525,0.149419,1981,February
1981-02-11,Japanese yen,34.0,203.5,0.167076,1981,February
1981-02-11,U.K. pound,0.071,2.335,0.165785,1981,February
1981-02-11,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-12,Deutsche mark,0.46,2.1715,0.211835,1981,February
1981-02-12,French franc,0.74,5.0027,0.14792,1981,February
1981-02-12,Japanese yen,34.0,204.45,0.1663,1981,February
1981-02-12,U.K. pound,0.071,2.3243,0.165025,1981,February
1981-02-12,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-13,Deutsche mark,0.46,2.1967,0.209405,1981,February
1981-02-13,French franc,0.74,5.0612,0.14621,1981,February
1981-02-13,Japanese yen,34.0,205.67,0.165313,1981,February
1981-02-13,U.K. pound,0.071,2.302,0.163442,1981,February
1981-02-13,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-16,Deutsche mark,0.46,2.249,0.204535,1981,February
1981-02-16,French franc,0.74,5.1905,0.142568,1981,February
1981-02-16,Japanese yen,34.0,208.55,0.16303,1981,February
1981-02-16,U.K. pound,0.071,2.25,0.15975,1981,February
1981-02-16,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-17,Deutsche mark,0.46,2.189,0.210142,1981,February
1981-02-17,French franc,0.74,5.065,0.146101,1981,February
1981-02-17,Japanese yen,34.0,206.27,0.164833,1981,February
1981-02-17,U.K. pound,0.071,2.2685,0.161064,1981,February
1981-02-17,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-18,Deutsche mark,0.46,2.167,0.212275,1981,February
1981-02-18,French franc,0.74,5.0175,0.147484,1981,February
1981-02-18,Japanese yen,34.0,205.72,0.165273,1981,February
1981-02-18,U.K. pound,0.071,2.2725,0.161348,1981,February
1981-02-18,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-19,Deutsche mark,0.46,2.1645,0.21252,1981,February
1981-02-19,French franc,0.74,5.0237,0.147302,1981,February
1981-02-19,Japanese yen,34.0,205.97,0.165073,1981,February
1981-02-19,U.K. pound,0.071,2.2705,0.161206,1981,February
1981-02-19,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-23,Deutsche mark,0.46,2.11,0.218009,1981,February
1981-02-23,French franc,0.74,4.9175,0.150483,1981,February
1981-02-23,Japanese yen,34.0,207.55,0.163816,1981,February
1981-02-23,U.K. pound,0.071,2.266,0.160886,1981,February
1981-02-23,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-24,Deutsche mark,0.46,2.0982,0.219236,1981,February
1981-02-24,French franc,0.74,4.9012,0.150983,1981,February
1981-02-24,Japanese yen,34.0,207.22,0.164077,1981,February
1981-02-24,U.K. pound,0.071,2.2433,0.159274,1981,February
1981-02-24,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-25,Deutsche mark,0.46,2.103,0.218735,1981,February
1981-02-25,French franc,0.74,4.925,0.150254,1981,February
1981-02-25,Japanese yen,34.0,207.27,0.164037,1981,February
1981-02-25,U.K. pound,0.071,2.2315,0.158437,1981,February
1981-02-25,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-26,Deutsche mark,0.46,2.1195,0.217032,1981,February
1981-02-26,French franc,0.74,4.973,0.148804,1981,February
1981-02-26,Japanese yen,34.0,207.5,0.163855,1981,February
1981-02-26,U.K. pound,0.071,2.2245,0.15794,1981,February
1981-02-26,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-27,Deutsche mark,0.46,2.128,0.216165,1981,February
1981-02-27,French franc,0.74,4.9975,0.148074,1981,February
1981-02-27,Japanese yen,34.0,209.2,0.162524,1981,February
1981-02-27,U.K. pound,0.071,2.2045,0.15652,1981,February
1981-02-27,U.S. dollar,0.54,1.0,0.54,1981,February
1981-03-02,Deutsche mark,0.46,2.151,0.213854,1981,March
1981-03-02,French franc,0.74,5.0595,0.14626,1981,March
1981-03-02,Japanese yen,34.0,211.1,0.161061,1981,March
1981-03-02,U.K. pound,0.071,2.1775,0.154603,1981,March
1981-03-02,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-03,Deutsche mark,0.46,2.1725,0.211738,1981,March
1981-03-03,French franc,0.74,5.112,0.144757,1981,March
1981-03-03,Japanese yen,34.0,209.52,0.162276,1981,March
1981-03-03,U.K. pound,0.071,2.1815,0.154887,1981,March
1981-03-03,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-04,Deutsche mark,0.46,2.121,0.216879,1981,March
1981-03-04,French franc,0.74,4.9912,0.148261,1981,March
1981-03-04,Japanese yen,34.0,207.72,0.163682,1981,March
1981-03-04,U.K. pound,0.071,2.215,0.157265,1981,March
1981-03-04,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-05,Deutsche mark,0.46,2.1316,0.2158,1981,March
1981-03-05,French franc,0.74,5.0155,0.147543,1981,March
1981-03-05,Japanese yen,34.0,208.2,0.163305,1981,March
1981-03-05,U.K. pound,0.071,2.1992,0.156143,1981,March
1981-03-05,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-06,Deutsche mark,0.46,2.1475,0.214203,1981,March
1981-03-06,French franc,0.74,5.0517,0.146485,1981,March
1981-03-06,Japanese yen,34.0,208.97,0.162703,1981,March
1981-03-06,U.K. pound,0.071,2.1845,0.1551,1981,March
1981-03-06,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-09,Deutsche mark,0.46,2.1346,0.215497,1981,March
1981-03-09,French franc,0.74,5.0312,0.147082,1981,March
1981-03-09,Japanese yen,34.0,207.37,0.163958,1981,March
1981-03-09,U.K. pound,0.071,2.1845,0.1551,1981,March
1981-03-09,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-10,Deutsche mark,0.46,2.1108,0.217927,1981,March
1981-03-10,French franc,0.74,4.9762,0.148708,1981,March
1981-03-10,Japanese yen,34.0,206.67,0.164513,1981,March
1981-03-10,U.K. pound,0.071,2.2115,0.157017,1981,March
1981-03-10,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-11,Deutsche mark,0.46,2.1125,0.217751,1981,March
1981-03-11,French franc,0.74,4.975,0.148744,1981,March
1981-03-11,Japanese yen,34.0,207.77,0.163642,1981,March
1981-03-11,U.K. pound,0.071,2.2235,0.157869,1981,March
1981-03-11,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-12,Deutsche mark,0.46,2.112,0.217803,1981,March
1981-03-12,French franc,0.74,4.9822,0.148529,1981,March
1981-03-12,Japanese yen,34.0,207.55,0.163816,1981,March
1981-03-12,U.K. pound,0.071,2.216,0.157336,1981,March
1981-03-12,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-13,Deutsche mark,0.46,2.1125,0.217751,1981,March
1981-03-13,French franc,0.74,4.9807,0.148573,1981,March
1981-03-13,Japanese yen,34.0,207.85,0.16358,1981,March
1981-03-13,U.K. pound,0.071,2.216,0.157336,1981,March
1981-03-13,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-16,Deutsche mark,0.46,2.0993,0.219121,1981,March
1981-03-16,French franc,0.74,4.9515,0.14945,1981,March
1981-03-16,Japanese yen,34.0,207.15,0.164132,1981,March
1981-03-16,U.K. pound,0.071,2.233,0.158543,1981,March
1981-03-16,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-17,Deutsche mark,0.46,2.0824,0.220899,1981,March
1981-03-17,French franc,0.74,4.9112,0.150676,1981,March
1981-03-17,Japanese yen,34.0,207.0,0.164251,1981,March
1981-03-17,U.K. pound,0.071,2.2545,0.16007,1981,March
1981-03-17,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-18,Deutsche mark,0.46,2.0646,0.222803,1981,March
1981-03-18,French franc,0.74,4.8687,0.151991,1981,March
1981-03-18,Japanese yen,34.0,206.65,0.164529,1981,March
1981-03-18,U.K. pound,0.071,2.2705,0.161206,1981,March
1981-03-18,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-19,Deutsche mark,0.46,2.0465,0.224774,1981,March
1981-03-19,French franc,0.74,4.833,0.153114,1981,March
1981-03-19,Japanese yen,34.0,208.15,0.163344,1981,March
1981-03-19,U.K. pound,0.071,2.2745,0.16149,1981,March
1981-03-19,U.S. dollar,0.54,1.0,0.54,1981,March
1981-03-20,Deutsche mark,0.46,2.0705,0.222169,1981,March
