Année,Population,Sexe,Tranche d'âge,Population au premier janvier
2007.0,5656337.0,,,61795238.0
2008.0,5841226.0,,,62134866.0
2009.0,6025502.0,,,62465709.0
2010.0,6199172.0,,,62765235.0
2011.0,6375265.0,,,63070344.0
2012.0,6533345.0,,,63375971.0
2013.0,6692626.0,,,63697865.0
2014.0,6847598.0,,,64027958.0
2015.0,7005458.0,,,64300821.0
2016.0,7144419.0,,,64468792.0
2017.0,7285141.0,,,64639133.0
2018.0,7418243.0,,,64844037.0
2019.0,7565341.0,,,65096768.0
2020.0,7708016.0,,,65269154.0
2021.0,7824967.0,,,65450219.0
2022.0,7946730.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,509297.0,,,40125230.0
1947.0,517266.0,,,40448254.0
1948.0,544643.0,,,40910569.0
1949.0,569345.0,,,41313195.0
1950.0,582144.0,,,41647258.0
1951.0,601404.0,,,42010088.0
1952.0,614277.0,,,42300981.0
1953.0,631254.0,,,42618354.0
1954.0,635858.0,,,42885138.0
1955.0,645178.0,,,43227872.0
1956.0,647982.0,,,43627467.0
1957.0,649097.0,,,44058683.0
1958.0,656406.0,,,44563043.0
1959.0,665673.0,,,45014662.0
1960.0,676423.0,,,45464797.0
1961.0,684657.0,,,45903656.0
1962.0,697059.0,,,46422000.0
1963.0,705278.0,,,47573406.0
1964.0,705251.0,,,48059029.0
1965.0,715098.0,,,48561800.0
1966.0,715768.0,,,48953792.0
1967.0,724552.0,,,49373537.0
1968.0,727378.0,,,49723072.0
1969.0,733110.0,,,50107735.0
1970.0,737455.0,,,50528219.0
1971.0,745519.0,,,51016234.0
1972.0,765449.0,,,51485953.0
1973.0,790989.0,,,51915873.0
1974.0,815545.0,,,52320725.0
1975.0,848943.0,,,52600000.0
1976.0,878593.0,,,52798338.0
1977.0,916194.0,,,53019005.0
1978.0,957589.0,,,53271566.0
1979.0,990964.0,,,53481073.0
1980.0,1024405.0,,,53731387.0
1981.0,1057326.0,,,54028630.0
1982.0,1085552.0,,,54335000.0
1983.0,1114976.0,,,54649984.0
1984.0,1142611.0,,,54894854.0
1985.0,1172427.0,,,55157303.0
1986.0,1198625.0,,,55411238.0
1987.0,1219491.0,,,55681780.0
1988.0,1254428.0,,,55966142.0
1989.0,1288550.0,,,56269810.0
1990.0,1317388.0,,,56577000.0
1991.0,1293652.0,,,56840661.0
1992.0,1251591.0,,,57110533.0
1993.0,1218796.0,,,57369161.0
1994.0,1196855.0,,,57565008.0
1995.0,1196325.0,,,57752535.0
1996.0,1270265.0,,,57935959.0
1997.0,1336837.0,,,58116018.0
1998.0,1396294.0,,,58298962.0
1999.0,1451677.0,,,58496613.0
2000.0,1502894.0,,,58858198.0
2001.0,1558710.0,,,59266572.0
2002.0,1615094.0,,,59685899.0
2003.0,1669235.0,,,60101841.0
2004.0,1720293.0,,,60505421.0
2005.0,1780970.0,,,60963264.0
2006.0,1844538.0,,,61399733.0
2007.0,1902830.0,,,61795238.0
2008.0,1960940.0,,,62134866.0
2009.0,2009609.0,,,62465709.0
2010.0,2060405.0,,,62765235.0
2011.0,2103544.0,,,63070344.0
2012.0,2147128.0,,,63375971.0
2013.0,2184599.0,,,63697865.0
2014.0,2224035.0,,,64027958.0
2015.0,2266880.0,,,64300821.0
2016.0,2287425.0,,,64468792.0
